1.048636, 84406, 11738
1.176634, 40654, 6113
1.167757, 25308, 4231
1.443223, 4391, 955
1.288056, 2852, 0
0.617720, 90014, 19364
0.572730, 42614, 11124
0.477026, 26685, 7328
0.490338, 5322, 1614
0.845866, 2852, 0
1.257401, 48254, 9674
1.175400, 13156, 3785
1.218011, 5673, 1866
1.088678, 2803, 789
1.220183, 2543, 0
0.445450, 64052, 16217
0.409575, 14026, 5027
0.605967, 6820, 2614
0.466962, 2905, 893
0.597713, 2543, 0
1.239926, 67747, 13730
1.091119, 20951, 6493
1.047582, 11240, 4092
1.273908, 4468, 1846
1.233729, 3890, 0
0.326842, 73793, 19192
0.639780, 22419, 9191
0.479351, 12119, 5523
0.470489, 4699, 2207
0.792714, 3890, 0
1.153062, 2133, 702
1.114946, 766, 220
1.168460, 397, 48
1.201223, 317, 0
1.274572, 317, 0
0.460407, 2193, 1183
0.359230, 793, 385
0.482962, 383, 66
0.296045, 317, 0
0.290217, 317, 0
lru,1.189306, 84404, 11737
lru,1.377434, 40654, 6113
lru,1.114101, 25308, 4231
lru,1.159895, 4391, 955
lru,1.257031, 2852, 0
new,0.361758, 90014, 19364
new,0.397761, 42614, 11124
new,0.447438, 26685, 7328
new,0.593137, 5322, 1614
new,0.697060, 2852, 0
lru,1.135041, 48251, 9674
lru,1.126550, 13156, 3785
lru,1.116836, 5673, 1866
lru,1.159187, 2803, 789
lru,1.164555, 2543, 0
new,0.344594, 64052, 16217
new,0.404326, 14026, 5027
new,0.414149, 6820, 2614
new,0.443299, 2905, 893
new,0.554383, 2543, 0
lru,1.073519, 67750, 13730
lru,1.106790, 20951, 6493
lru,1.123335, 11240, 4092
lru,1.157894, 4468, 1846
lru,1.197252, 3890, 0
new,0.335233, 73793, 19192
new,0.363613, 22419, 9191
new,0.379922, 12119, 5523
new,0.452231, 4699, 2207
new,0.706157, 3890, 0
lru,1.152242, 2133, 702
lru,1.078443, 766, 220
lru,1.103942, 397, 48
lru,1.121131, 317, 0
lru,1.166924, 317, 0
new,0.304270, 2193, 1183
new,0.304233, 793, 385
new,0.295221, 383, 66
new,0.300500, 317, 0
new,0.331052, 317, 0
